Step,Sentiment_filter,Random_filter,Eval_random_filter
7601,5.02145338058472,4.72714996337891,
7701,5.01788902282715,4.56316471099854,
7801,4.89761400222778,5.17827081680298,
7901,4.92229795455933,4.77556467056274,
8001,4.98180913925171,4.79154586791992,
8101,5.01253938674927,4.8319034576416,
8201,4.83575201034546,4.79775333404541,
8301,4.9547872543335,4.60450839996338,
8401,5.06764936447144,4.6184287071228,
8501,4.52528047561646,4.08936929702759,
8601,4.85051345825195,4.47400093078613,
8701,4.76317071914673,5.02651739120483,
8801,4.75228261947632,4.77830839157105,
8901,4.46988439559937,5.16690397262573,
9001,4.57210636138916,4.97029113769531,
9101,5.03292179107666,4.84532594680786,
9201,4.91705369949341,4.57993412017822,
9301,4.4377589225769,4.43172597885132,
9401,4.83293294906616,4.47278881072998,
9501,4.77835416793823,4.99651527404785,
9601,4.54443025588989,4.66602611541748,
9701,4.55027294158936,4.51076364517212,
9801,4.69885015487671,4.75053882598877,
9901,4.78699970245361,4.91243982315064,
10001,4.26143360137939,4.23665571212769,
10101,5.03794622421265,4.81314897537231,
10201,4.54486894607544,4.62551832199097,
10301,4.33183908462524,4.42356252670288,
10401,4.87107038497925,4.82750034332275,
10501,4.78161430358887,4.70649862289429,
10601,4.71232748031616,4.04764890670776,
10701,4.50370168685913,4.77531623840332,
10801,4.69064092636108,5.2725682258606,
10901,4.82405853271484,4.78603315353394,
11001,4.58334732055664,4.44103860855103,
11101,4.7175350189209,4.48668622970581,
11201,4.68241357803345,4.90986394882202,
11301,4.71148061752319,4.45290803909302,
11401,4.33110761642456,4.71638631820679,
11501,4.68345212936401,4.45811796188355,
11601,4.61142778396606,4.30997657775879,
11701,4.49688959121704,4.2536187171936,
11801,4.48616218566895,4.47909164428711,
11901,4.44321870803833,4.886399269104,
12001,4.6173882484436,4.46552896499634,
12101,4.35900640487671,4.84698057174683,
12201,4.64588117599487,4.71837711334229,
12301,4.85413551330566,4.59246921539307,
12401,4.11720609664917,4.36556625366211,
12501,4.06005430221558,4.61276817321777,
12601,4.58868026733398,4.74072265625,
12701,2.33137583732605,4.32646560668945,
12801,4.72489356994629,4.24447107315064,
12901,4.75436496734619,4.47525787353516,
13001,4.57240438461304,4.85241556167603,
13101,4.39231777191162,4.50608205795288,
13201,4.35434627532959,3.55915784835815,
13301,4.25508260726929,4.40649032592773,
13401,4.71455335617065,4.33169174194336,
13501,4.47675895690918,4.50205135345459,
13601,4.43660545349121,4.31624937057495,
13701,4.65207433700562,4.20862340927124,
13801,4.29938936233521,4.6169810295105,
13901,4.41219139099121,5.15162324905396,
14001,4.12649345397949,3.99212455749512,
14101,4.5971302986145,4.40465784072876,
14201,5.02179384231567,4.45308303833008,
14301,4.65824460983276,4.42746543884277,
14401,4.52157926559448,4.42348432540894,
14501,4.04709625244141,4.6357364654541,
14601,3.9706597328186,4.20039033889771,
14701,4.29284620285034,4.27301359176636,
14801,4.52222442626953,4.45094919204712,
14901,3.83346080780029,4.29110479354858,
15001,4.48701477050781,4.54379510879517,
15101,4.25924158096314,4.32466650009155,
15201,4.29451942443848,4.77329349517822,
15301,3.8831958770752,4.47415733337402,
15401,2.07454586029053,3.81497859954834,
15501,4.251633644104,4.70547676086426,
15601,4.34004497528076,4.28827428817749,
15701,4.84233617782593,4.36067724227905,
15801,4.37835264205933,4.37732315063477,
15901,4.17021465301514,4.46224498748779,
16001,4.40359020233154,4.42168855667114,
16101,3.93724274635315,4.53927516937256,
16201,4.24041318893433,4.9462366104126,
16301,4.66849851608276,4.21788263320923,
16401,4.66287136077881,4.44571542739868,
16501,4.72916555404663,4.23165225982666,
16601,4.59063673019409,3.9438042640686,
16701,4.3816351890564,4.98033332824707,
16801,4.36229276657105,4.64374876022339,
16901,4.4138708114624,4.20016765594482,
17001,4.34448480606079,4.25005197525024,
17101,4.37876844406128,4.29780435562134,
17201,4.14192342758179,4.34297227859497,
17301,4.24775838851929,3.95686650276184,
17401,4.39576816558838,4.4427752494812,
17501,4.51523113250732,4.24271011352539,
17601,4.4720983505249,4.25693702697754,
17701,4.4266848564148,4.32963085174561,
17801,4.55157995223999,4.40583658218384,
17901,4.13401079177856,4.23968458175659,
18001,4.46337890625,4.06569528579712,
18101,4.48194599151611,4.67821168899536,
18201,4.12011098861694,4.37885427474976,
18301,4.26593685150147,4.40146160125732,
18401,4.29640340805054,4.87835121154785,
18501,4.82212448120117,4.37011241912842,
18601,4.18733930587769,4.10898303985596,
18701,4.04800081253052,4.50107765197754,
18801,4.16499614715576,4.73352289199829,
18901,4.28530025482178,2.14323306083679,
19001,4.17356681823731,4.19466972351074,
19101,4.61077547073364,4.54527282714844,
19201,4.13652181625366,4.4484543800354,
19301,3.55973720550537,4.03993225097656,
19401,4.11051321029663,4.08842468261719,
19501,4.46981287002564,4.33859157562256,
19601,4.11364889144897,4.16377401351929,
19701,4.76130342483521,4.43058300018311,
19801,4.67390489578247,4.22788619995117,
19901,2.26993465423584,4.29322195053101,
20001,4.43176078796387,3.95118379592896,
20101,4.41768407821655,4.68819379806519,
20201,4.0408034324646,4.40903425216675,
20301,4.02401781082153,4.07785987854004,
20401,1.94912350177765,4.48667526245117,
20501,4.58365964889526,4.43086767196655,
20601,4.34432363510132,4.119788646698,
20701,4.52529335021973,4.27499961853027,
20801,4.06488561630249,4.26514053344727,
20901,4.48954200744629,3.88435578346252,
21001,4.4391713142395,4.51302528381348,
21101,4.2002911567688,4.53817844390869,
21201,3.98689079284668,4.57321500778198,
21301,4.15663433074951,4.37471675872803,
21401,3.83362913131714,4.21770715713501,
21501,4.28993892669678,4.25301790237427,
21601,4.15203285217285,4.18362283706665,
21701,4.05367040634155,3.8223934173584,
21801,4.17507410049439,3.93594861030579,
21901,4.19735383987427,4.12305545806885,
22001,3.89824104309082,4.02154016494751,
22101,4.15079164505005,4.10959625244141,
22201,4.42131185531616,4.53010559082031,
22301,4.45453023910522,4.00896978378296,
22401,4.60244464874268,2.30662846565247,
22501,4.35115575790405,4.07298469543457,
22601,4.32543563842773,4.35011053085327,
22701,4.50833654403687,4.20638751983643,
22801,4.23098373413086,3.82929229736328,
22901,4.35088443756104,4.06560850143433,
23001,4.18258714675903,4.315025806427,
23101,4.10444450378418,4.26449346542358,
23201,4.23376893997192,4.35328245162964,
23301,4.67006587982178,3.90972328186035,
23401,4.24447774887085,4.32311248779297,
23501,4.58912897109985,3.98059773445129,
23601,4.14385890960693,4.12650442123413,
23701,4.30923128128052,4.5739312171936,
23801,4.03848505020142,4.16420888900757,
23901,4.42286062240601,3.98557615280151,
24001,4.20034408569336,4.21432447433472,
24101,4.37968301773071,4.62281703948975,
24201,4.1804051399231,4.14762687683106,
24301,4.4627857208252,4.30429887771606,
24401,4.20566558837891,4.39890003204346,
24501,3.88913249969482,4.29008626937866,
24601,4.37488460540772,4.67245483398438,
24701,4.14698457717896,4.18694305419922,
24801,4.24588346481323,3.67712330818176,
24901,4.43696117401123,4.24187660217285,
