Step,Sentiment_filter,Random_filter,Eval_random_filter
1,9.62662792205811,9.69308280944824,
101,7.69603824615479,7.88855266571045,
201,7.32855701446533,7.1256217956543,
301,6.67799091339111,6.8610110282898,
401,6.48485660552979,6.84242343902588,
501,6.52245092391968,6.50342798233032,
601,6.74644279479981,6.36503648757935,
701,6.39653825759888,6.63855791091919,
801,6.77018117904663,6.68334245681763,
901,6.4737696647644,6.41597557067871,
1001,6.45463275909424,6.33855056762695,7.31291055679321
1101,6.20797824859619,6.41641521453857,
1201,6.26103401184082,6.55149078369141,
1301,6.24352645874023,6.41389846801758,
1401,5.90914106369019,6.06807041168213,
1501,6.41675662994385,5.95678758621216,
1601,5.83128499984741,5.87646532058716,
1701,6.35902070999146,5.7876615524292,
1801,6.16139125823975,5.91094255447388,
1901,6.06194257736206,5.99884557723999,
2001,5.83379316329956,5.92504215240479,6.59371042251587
2101,5.80893659591675,6.14976787567139,
2201,5.51077938079834,5.87865114212036,
2301,5.66181612014771,5.93212795257568,
2401,5.91340589523315,6.25212526321411,
2501,6.01578664779663,5.5015721321106,
2601,5.81564378738403,5.44333362579346,
2701,5.3807864189148,5.35018539428711,
2801,4.99452066421509,5.8734974861145,
2901,5.32172393798828,5.47973203659058,
3001,5.60537433624268,5.59074926376343,6.19497108459473
3101,5.16599369049072,5.40644979476929,
3201,4.93374538421631,5.23854780197144,
3301,5.18014717102051,5.83827447891235,
3401,5.50678634643555,5.67622852325439,
3501,5.54643154144287,5.31568384170532,
3601,5.58802604675293,5.22842216491699,
3701,5.39124059677124,5.52726030349731,
3801,5.27303695678711,5.05241632461548,
3901,5.13732385635376,5.08688926696777,
4001,5.44061756134033,5.67307329177856,6.02494955062866
4101,4.92169952392578,5.52184820175171,
4201,5.09052753448486,5.4739408493042,
4301,4.25463914871216,5.16558790206909,
4401,5.17488527297974,5.08621215820313,
4501,4.92198610305786,5.48475408554077,
4601,5.29697275161743,5.39781141281128,
4701,4.96987056732178,5.26609563827515,
4801,5.00554800033569,5.26577663421631,
4901,5.26065111160278,5.04797744750977,
5001,5.08005905151367,4.95575284957886,
5101,2.73407411575317,4.77499055862427,
5201,4.75166797637939,4.983473777771,
5301,4.7433123588562,5.29308223724365,
5401,4.92956113815308,5.19980812072754,
5501,5.01278495788574,4.90133619308472,
5601,5.0948805809021,4.87618398666382,
5701,4.57723474502564,5.14836120605469,
5801,4.93550443649292,5.26410722732544,
5901,4.89323711395264,5.23159885406494,
6001,4.75524473190308,4.91021823883057,
6101,4.86150932312012,4.96083116531372,
6201,5.54863405227661,4.76412487030029,
6301,5.04814100265503,4.7621693611145,
6401,4.64034080505371,5.3377685546875,
6501,4.86159563064575,4.61775875091553,
6601,5.18848466873169,4.5248556137085,
6701,5.07681274414063,4.57568550109863,
6801,5.07134437561035,4.95603513717651,
6901,5.1967191696167,5.19565010070801,
7001,4.25976657867432,4.90913200378418,
7101,5.27622699737549,5.06562042236328,
7201,4.97438335418701,4.70980024337769,
7301,4.53308010101318,4.70800971984863,
7401,4.59722566604614,4.69487237930298,
7501,4.68112897872925,4.87171697616577,
